INDEX	CODE	SHORT OPENING	OPENING	ORG		
154	B11	Caro-Kann		Caro-Kann	Two knights, 3...Bg4	1. e4 c6 2. Nc3 d5 3. Nf3 Bg4
155	B12	Caro-Kann		Caro-Kann defense		1. e4 c6 2. d4
156	B12	Caro-Kann		Caro-Kann defense		1. e4 c6 2. d4 d5
157	B12	Caro-Kann		Caro-Kann	Tartakower (fantasy) Variation 	1. e4 c6 2. d4 d5 3. f3
158	B12	Caro-Kann		Caro-Kann	3.Nd2	1. e4 c6 2. d4 d5 3. Nd2
159	B12	Caro-Kann		Caro-Kann	Edinburgh Variation 	1. e4 c6 2. d4 d5 3. Nd2 Qb6
160	B12	Caro-Kann		Caro-Kann	Advance Variation 	1. e4 c6 2. d4 d5 3. e5
161	B12	Caro-Kann		Caro-Kann	Advance, Short Variation 	1. e4 c6 2. d4 d5 3. e5 Bf5 4. c3 e6 5. Be2
162	B13	Caro-Kann		Caro-Kann	Exchange Variation 	1. e4 c6 2. d4 d5 3. exd5
163	B13	Caro-Kann		Caro-Kann	Exchange, Rubinstein Variation 	1. e4 c6 2. d4 d5 3. exd5 cxd5 4. Bd3 Nc6 5. c3 Nf6 6. Bf4
164	B13	Caro-Kann		Caro-Kann	Panov-Botvinnik attack	1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4
165	B13	Caro-Kann		Caro-Kann	Panov-Botvinnik, Gunderam attack	1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. c5
166	B13	Caro-Kann		Caro-Kann	Panov-Botvinnik attack	1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nc3
167	B13	Caro-Kann		Caro-Kann	Panov-Botvinnik, Herzog defense	1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nc3 Nc6 6. Bg5 dxc4 7. d5 Na5
168	B13	Caro-Kann		Caro-Kann	Panov-Botvinnik, normal Variation 	1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nc3 Nc6 6. Bg5 e6
169	B13	Caro-Kann		Caro-Kann	Panov-Botvinnik, Czerniak Variation 	1. e4 c6 2. d4 d5 3. exd5 cxd5 4. c4 Nf6 5. Nc3 Nc6 6. Bg5 Qa5
