A56	Benoni	Benoni defense, Hromodka system		1. d4 Nf6 2. c4 c5 3. d5 d6
A56	Vulture	Vulture defense		1. d4 Nf6 2. c4 c5 3. d5 Ne4
A56	Czech Benoni	Czech Benoni defense		1. d4 Nf6 2. c4 c5 3. d5 e5
A56	Czech Benoni	Czech Benoni	King's Indian system	1. d4 Nf6 2. c4 c5 3. d5 e5 4. Nc3 d6 5. e4 g6
A57	Benko	Benko gambit		1. d4 Nf6 2. c4 c5 3. d5 b5
A57	Benko	Benko gambit half accepted		1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6
A57	Benko	Benko gambit	Zaitsev system	1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. Nc3
A57	Benko	Benko gambit	Nescafe Frappe attack	1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. Nc3 axb5 6. e4 b4 7. Nb5 d6 8. Bc4
A58	Benko	Benko gambit accepted		1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6
A58	Benko	Benko gambit	Nd2 Variation 	1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 Bxa6 6. Nc3 d6 7. Nf3 g6 8. Nd2
A58	Benko	Benko gambit	Fianchetto Variation 	1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 Bxa6 6. Nc3 d6 7. Nf3 g6 8. g3
A59	Benko	Benko gambit	70000	1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 Bxa6 6. Nc3 d6 7. e4
A59	Benko	Benko gambit	Ne2 Variation 	1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 Bxa6 6. Nc3 d6 7. e4 Bxf1 8. Kxf1 g6 9. Nge2
A59	Benko	Benko gambit		1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 Bxa6 6. Nc3 d6 7. e4 Bxf1 8. Kxf1 g6 9. g3
A59	Benko	Benko gambit	Main line	1. d4 Nf6 2. c4 c5 3. d5 b5 4. cxb5 a6 5. bxa6 Bxa6 6. Nc3 d6 7. e4 Bxf1 8. Kxf1 g6 9. g3 Bg7 10. Kg2 O-O 11. Nf3
A60	Benoni	Benoni defense		1. d4 Nf6 2. c4 c5 3. d5 e6
A61	Benoni	Benoni defense		1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. Nf3 g6
A61	Benoni	Benoni	Uhlmann Variation 	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. Nf3 g6 7. Bg5
A61	Benoni	Benoni	Nimzovich (knight's tour) Variation 	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. Nf3 g6 7. Nd2
A61	Benoni	Benoni	Fianchetto Variation 	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. Nf3 g6 7. g3
A62	Benoni	Benoni	Fianchetto Variation 	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. Nf3 g6 7. g3 Bg7 8. Bg2 O-O
A63	Benoni	Benoni	Fianchetto, 9...Nbd7	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. Nf3 g6 7. g3 Bg7 8. Bg2 O-O 9. O-O Nbd7
A64	Benoni	Benoni	Fianchetto, 11...Re8	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. Nf3 g6 7. g3 Bg7 8. Bg2 O-O 9. O-O Nbd7 10. Nd2 a6 11. a4 Re8
A65	Benoni	Benoni	60000	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4
A66	Benoni	Benoni	pawn storm Variation 	1. d4 Nf6 2. c4 c5 3. d5 e6 4. Nc3 exd5 5. cxd5 d6 6. e4 g6 7. f4
